name,light_years_from_earth,plante_mass,stellar_magnitude,decovery_date
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
Kepler-37 e,209,0.0275 Earths,9.770001,2014
PSR B1257+12 b,1957,0.02 Earths,,1994
Kepler-444 b,119,0.0374 Earths,8.87,2015
Kepler-138 b,218,0.066 Earths,13.04,2014
Kepler-444 c,119,0.0793 Earths,8.87,2015
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-35 b,5934,0.127 Jupiters,15.863,2011
Kepler-849 b,2682,0.127 Jupiters,12.878,2016
Kepler-494 b,2447,0.127 Jupiters,14.287,2016
WASP-156 b,398,0.128 Jupiters,11.559,2017
TOI-257 b,251,0.138 Jupiters,7.57,2021
K2-121 b,553,0.139 Jupiters,13.229,2017
Kepler-42 d,131,0.13 Earths,16.7,2011
Kepler-1085 b,4451,0.13 Jupiters,15.273,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
55 Cancri f,41,0.141 Jupiters,5.95084,2007
Kepler-52 c,1049,0.14284 Jupiters,15.513,2012
Kepler-226 c,3197,0.142 Jupiters,15.563,2014
Kepler-952 b,4254,0.143 Jupiters,15.323,2016
Kepler-118 c,1873,0.144 Jupiters,14.867,2014
TOI-257 b,251,0.138 Jupiters,7.57,2021
K2-121 b,553,0.139 Jupiters,13.229,2017
Kepler-42 d,131,0.13 Earths,16.7,2011
Kepler-1085 b,4451,0.13 Jupiters,15.273,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
55 Cancri f,41,0.141 Jupiters,5.95084,2007
Kepler-52 c,1049,0.14284 Jupiters,15.513,2012
Kepler-226 c,3197,0.142 Jupiters,15.563,2014
Kepler-952 b,4254,0.143 Jupiters,15.323,2016
Kepler-118 c,1873,0.144 Jupiters,14.867,2014
TOI-257 b,251,0.138 Jupiters,7.57,2021
K2-121 b,553,0.139 Jupiters,13.229,2017
Kepler-42 d,131,0.13 Earths,16.7,2011
Kepler-1085 b,4451,0.13 Jupiters,15.273,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
55 Cancri f,41,0.141 Jupiters,5.95084,2007
Kepler-52 c,1049,0.14284 Jupiters,15.513,2012
Kepler-226 c,3197,0.142 Jupiters,15.563,2014
Kepler-952 b,4254,0.143 Jupiters,15.323,2016
Kepler-118 c,1873,0.144 Jupiters,14.867,2014
TOI-257 b,251,0.138 Jupiters,7.57,2021
K2-121 b,553,0.139 Jupiters,13.229,2017
Kepler-42 d,131,0.13 Earths,16.7,2011
Kepler-1085 b,4451,0.13 Jupiters,15.273,2016
K2-87 b,1602,0.141 Jupiters,14.136,2016
55 Cancri f,41,0.141 Jupiters,5.95084,2007
